Id,Hashed_Context,Pronoun,Position,Candidate_Antecedent,Manual Evaluation
0-its-0,The Game must be programmed using the C# language and its#0libraries compatible with the Unity Engine,its,11,The Game,UA
0-its-0,The Game must be programmed using the C# language and its#0libraries compatible with the Unity Engine,its,11,the C# language,UA
0-its-0,The Game must be programmed using the C# language and its#0libraries compatible with the Unity Engine,its,11,the C# language and its libraries,UA
1-their-0,The User shall be able to the select username and password for their#0account on the website.,their,12,The User,UA
1-their-0,The User shall be able to the select username and password for their#0account on the website.,their,12,the select username,UA
1-their-0,The User shall be able to the select username and password for their#0account on the website.,their,12,the select username and password,UA
1-their-0,The User shall be able to the select username and password for their#0account on the website.,their,12,password,UA
2-their-0,"Username and Password must be available to enter in the system, in order to access their#0account",their,16,Username,A
2-their-0,"Username and Password must be available to enter in the system, in order to access their#0account",their,16,Username and Password,A
2-their-0,"Username and Password must be available to enter in the system, in order to access their#0account",their,16,Password,A
2-their-0,"Username and Password must be available to enter in the system, in order to access their#0account",their,16,the system,A
2-their-0,"Username and Password must be available to enter in the system, in order to access their#0account",their,16,order,A
3-their-0,"The website shall enable the players to select their#0respective teams, which will participate in the respective tournament.",their,8,The website,A
3-their-0,"The website shall enable the players to select their#0respective teams, which will participate in the respective tournament.",their,8,the players,A
4-their-0,"Each team players will have Names, Contacts numbers and their#0City names",their,10,Each team players,UA
4-their-0,"Each team players will have Names, Contacts numbers and their#0City names",their,10,Names,UA
4-their-0,"Each team players will have Names, Contacts numbers and their#0City names",their,10,Contacts numbers,UA
4-their-0,"Each team players will have Names, Contacts numbers and their#0City names",their,10,Contacts numbers and their City names,UA
5-their-0,"Each player will have their#0own
FirstName
LastName
DOB email
contact no
city
address",their,4,Each player,UA
6-their-0,Each Players will have their#0own specific player id and team id.,their,4,Each Players,UA
7-his-0,The system shall enable the MOHA employee to log in to his#0account.,his,11,The system,A
7-his-0,The system shall enable the MOHA employee to log in to his#0account.,his,11,the MOHA employee,A
8-his-0,The system shall enable the patient to log in to his#0account.,his,10,The system,UA
8-his-0,The system shall enable the patient to log in to his#0account.,his,10,the patient,UA
9-his-0,The system shall enable the patient to cancel his#0appointment.,his,8,The system,UA
9-his-0,The system shall enable the patient to cancel his#0appointment.,his,8,the patient,UA
10-his-0,The system shall enable the patient to reschedule his#0appointment.,his,8,The system,UA
10-his-0,The system shall enable the patient to reschedule his#0appointment.,his,8,the patient,UA
11-his-0,The system shall enable the patient to change his#0personal data.,his,8,The system,UA
11-his-0,The system shall enable the patient to change his#0personal data.,his,8,the patient,UA
12-his-0,The system shall enable the patient to see his#0personal data (personal data includes information about medication).,his,8,The system,UA
12-his-0,The system shall enable the patient to see his#0personal data (personal data includes information about medication).,his,8,the patient,UA
13-his-0,The system shall enable the patient to delete values in his#0personal data.,his,10,The system,UA
13-his-0,The system shall enable the patient to delete values in his#0personal data.,his,10,the patient,UA
13-his-0,The system shall enable the patient to delete values in his#0personal data.,his,10,values,UA
14-his-0,The system shall enable the patient to delete his#0account.,his,8,The system,UA
14-his-0,The system shall enable the patient to delete his#0account.,his,8,the patient,UA
15-his-0,The system shall enable the doctor to register his#0account.,his,8,The system,UA
15-his-0,The system shall enable the doctor to register his#0account.,his,8,the doctor,UA
16-his-0,The system shall enable the doctor to log in to his#0account.,his,10,The system,UA
16-his-0,The system shall enable the doctor to log in to his#0account.,his,10,the doctor,UA
17-their-0,Admin clients can login through their#0pre-assigned username and password.,their,5,Admin clients,UA
18-their-0,Extra admin clients can either login using their#0manually registered credentials or social accounts (Gmail).,their,7,Extra admin clients,A
19-they-0,User will be kept logged in if they#0opt to stay singed in at the time of login in.,they,7,User,A
20-their-0,Clients will be provided associated access to their#0accounts after logging in.,their,7,Clients,UA
20-their-0,Clients will be provided associated access to their#0accounts after logging in.,their,7,associated access,UA
21-themselves-0,Extra admin clients can get themselves#0registered against their email addresses.,themselves,5,Extra admin clients,UA
21-their-1,Extra admin clients can get themselves registered against their#1email addresses.,their,8,Extra admin clients,UA
23-their-0,Clients will be able to change password from their#0profile.,their,8,Clients,UA
23-their-0,Clients will be able to change password from their#0profile.,their,8,password,UA
24-their-0,Clients will be asked to provide new password after confirming their#0old password.,their,10,Clients,UA
24-their-0,Clients will be asked to provide new password after confirming their#0old password.,their,10,new password,UA
25-their-0,Clients can request a link to reset their#0password if they have forgotten their password.,their,7,Clients,UA
25-their-0,Clients can request a link to reset their#0password if they have forgotten their password.,their,7,a link,UA
25-they-1,Clients can request a link to reset their password if they#1have forgotten their password.,they,10,Clients,UA
25-they-1,Clients can request a link to reset their password if they#1have forgotten their password.,they,10,a link,UA
25-they-1,Clients can request a link to reset their password if they#1have forgotten their password.,they,10,their password,UA
25-their-2,Clients can request a link to reset their password if they have forgotten their#2password.,their,13,Clients,UA
25-their-2,Clients can request a link to reset their password if they have forgotten their#2password.,their,13,a link,UA
25-their-2,Clients can request a link to reset their password if they have forgotten their#2password.,their,13,their password,UA
26-their-0,Clients will receive a link in their#0mailboxes.,their,6,Clients,UA
26-their-0,Clients will receive a link in their#0mailboxes.,their,6,a link,UA
27-it-0,Seller/Renter can view the status of book whether it#0is delivered or not.,it,10,Seller/Renter,UA
27-it-0,Seller/Renter can view the status of book whether it#0is delivered or not.,it,10,the status,UA
27-it-0,Seller/Renter can view the status of book whether it#0is delivered or not.,it,10,book,UA
28-it-0,Buyer can view status of book whether it#0is received or not.,it,7,Buyer,UA
28-it-0,Buyer can view status of book whether it#0is received or not.,it,7,status,UA
28-it-0,Buyer can view status of book whether it#0is received or not.,it,7,book,UA
29-his-0,The application shall enable driver to SignIn into system by providing his#0/ her valid email and password,his,11,The application,A
29-his-0,The application shall enable driver to SignIn into system by providing his#0/ her valid email and password,his,11,driver,A
29-his-0,The application shall enable driver to SignIn into system by providing his#0/ her valid email and password,his,11,system,A
29-her-1,The application shall enable driver to SignIn into system by providing his / her#1valid email and password,her,13,The application,A
29-her-1,The application shall enable driver to SignIn into system by providing his / her#1valid email and password,her,13,driver,A
29-her-1,The application shall enable driver to SignIn into system by providing his / her#1valid email and password,her,13,system,A
30-her-0,The application shall enable the driver to select his/ her#0Gender,her,9,The application,UA
30-her-0,The application shall enable the driver to select his/ her#0Gender,her,9,the driver,UA
31-his-0,The application shall enable driver to insert his#0/ her CNIC#,his,7,The application,UA
31-his-0,The application shall enable driver to insert his#0/ her CNIC#,his,7,driver,UA
31-her-1,The application shall enable driver to insert his / her#1CNIC#,her,9,The application,UA
31-her-1,The application shall enable driver to insert his / her#1CNIC#,her,9,driver,UA
32-his-0,The application shall enable the driver to insert his#0/her City,his,8,The application,UA
32-his-0,The application shall enable the driver to insert his#0/her City,his,8,the driver,UA
33-his-0,The application shall enable the driver to update his#0/her City,his,8,The application,A
33-his-0,The application shall enable the driver to update his#0/her City,his,8,the driver,A
34-his-0,The driver will get points if someone signup using his#0/her valid link,his,9,The driver,A
34-his-0,The driver will get points if someone signup using his#0/her valid link,his,9,points,A
35-his-0,The application shall enable driver to view his#0/ her trip history,his,7,The application,UA
35-his-0,The application shall enable driver to view his#0/ her trip history,his,7,driver,UA
35-her-1,The application shall enable driver to view his / her#1trip history,her,9,The application,UA
35-her-1,The application shall enable driver to view his / her#1trip history,her,9,driver,UA
36-our-0,Driver shall have to agree with our#0terms and condition to use our application,our,6,Driver,A
36-our-1,Driver shall have to agree with our terms and condition to use our#1application,our,12,Driver,A
36-our-1,Driver shall have to agree with our terms and condition to use our#1application,our,12,our terms,A
36-our-1,Driver shall have to agree with our terms and condition to use our#1application,our,12,our terms and condition,A
36-our-1,Driver shall have to agree with our terms and condition to use our#1application,our,12,condition,A
37-his-0,Application shall enable user to Login into system by providing his#0/ her valid email and password,his,10,Application,UA
37-his-0,Application shall enable user to Login into system by providing his#0/ her valid email and password,his,10,user,UA
37-his-0,Application shall enable user to Login into system by providing his#0/ her valid email and password,his,10,Login,UA
37-his-0,Application shall enable user to Login into system by providing his#0/ her valid email and password,his,10,system,UA
37-her-1,Application shall enable user to Login into system by providing his / her#1valid email and password,her,12,Application,UA
37-her-1,Application shall enable user to Login into system by providing his / her#1valid email and password,her,12,user,UA
37-her-1,Application shall enable user to Login into system by providing his / her#1valid email and password,her,12,Login,UA
37-her-1,Application shall enable user to Login into system by providing his / her#1valid email and password,her,12,system,UA
38-her-0,Application shall enable user to select his/ her#0Gender,her,7,Application,UA
38-her-0,Application shall enable user to select his/ her#0Gender,her,7,user,UA
39-our-0, Blockchain dashboard will display all the stats and information regarding our#0private blockchain network.,our,11, Blockchain dashboard,A
39-our-0, Blockchain dashboard will display all the stats and information regarding our#0private blockchain network.,our,11,all the stats,A
39-our-0, Blockchain dashboard will display all the stats and information regarding our#0private blockchain network.,our,11,all the stats and information,A
39-our-0, Blockchain dashboard will display all the stats and information regarding our#0private blockchain network.,our,11,information,A
40-we-0,Through blockchain dashboard we#0will be able to see busy and online users and all tasks,we,3,blockchain dashboard,A
42-their-0,"System shall allow Candidate, Admin logout the system from their#0own page.",their,10,System,A
42-their-0,"System shall allow Candidate, Admin logout the system from their#0own page.",their,10,"Candidate, Admin",A
42-their-0,"System shall allow Candidate, Admin logout the system from their#0own page.",their,10,the system,A
43-it-0,System shall allow The Candidate to give feedback it#0shows reviews of Candidate ,it,8,System,A
43-it-0,System shall allow The Candidate to give feedback it#0shows reviews of Candidate ,it,8,The Candidate,A
43-it-0,System shall allow The Candidate to give feedback it#0shows reviews of Candidate ,it,8,feedback,A
44-their-0,The website shall enable the user to select username and password for their#0account.,their,12,The website,A
44-their-0,The website shall enable the user to select username and password for their#0account.,their,12,the user,A
44-their-0,The website shall enable the user to select username and password for their#0account.,their,12,password,A
45-their-0,"The website shall enable the user to enter their#0username and password of their account, in order to access their account.",their,8,The website,A
45-their-0,"The website shall enable the user to enter their#0username and password of their account, in order to access their account.",their,8,the user,A
45-their-1,"The website shall enable the user to enter their username and password of their#1account, in order to access their account.",their,13,The website,A
45-their-1,"The website shall enable the user to enter their username and password of their#1account, in order to access their account.",their,13,the user,A
45-their-1,"The website shall enable the user to enter their username and password of their#1account, in order to access their account.",their,13,password,A
45-their-2,"The website shall enable the user to enter their username and password of their account, in order to access their#2account.",their,20,The website,A
45-their-2,"The website shall enable the user to enter their username and password of their account, in order to access their#2account.",their,20,the user,A
45-their-2,"The website shall enable the user to enter their username and password of their account, in order to access their#2account.",their,20,password,A
45-their-2,"The website shall enable the user to enter their username and password of their account, in order to access their#2account.",their,20,their account,A
45-their-2,"The website shall enable the user to enter their username and password of their account, in order to access their#2account.",their,20,order,A
47-their-0,"Tasker can be provided the option to submit their#0tasks, and check feedback if they are Sign in. And are registered with any work list.",their,8,Tasker,A
47-their-0,"Tasker can be provided the option to submit their#0tasks, and check feedback if they are Sign in. And are registered with any work list.",their,8,the option,A
47-they-1,"Tasker can be provided the option to submit their tasks, and check feedback if they#1are Sign in. And are registered with any work list.",they,15,Tasker,A
47-they-1,"Tasker can be provided the option to submit their tasks, and check feedback if they#1are Sign in. And are registered with any work list.",they,15,the option,A
47-they-1,"Tasker can be provided the option to submit their tasks, and check feedback if they#1are Sign in. And are registered with any work list.",they,15,their tasks,A
47-they-1,"Tasker can be provided the option to submit their tasks, and check feedback if they#1are Sign in. And are registered with any work list.",they,15,feedback,A
48-their-0,"Customer can invite their#0group members after signing in , or send message on WhatsApp. ",their,3,Customer,UA
49-it-0,"Tasker can sent gallery to admin pages after confirmation, it#0will be added on home page.",it,10,Tasker,A
49-it-0,"Tasker can sent gallery to admin pages after confirmation, it#0will be added on home page.",it,10,gallery,A
49-it-0,"Tasker can sent gallery to admin pages after confirmation, it#0will be added on home page.",it,10,pages,A
49-it-0,"Tasker can sent gallery to admin pages after confirmation, it#0will be added on home page.",it,10,confirmation,A
51-his-0,Login Form are provide so the user can have a private space or Dashboard to look upon his#0work details.,his,17,Login Form,UA
51-his-0,Login Form are provide so the user can have a private space or Dashboard to look upon his#0work details.,his,17,the user,UA
51-his-0,Login Form are provide so the user can have a private space or Dashboard to look upon his#0work details.,his,17,a private space,UA
51-his-0,Login Form are provide so the user can have a private space or Dashboard to look upon his#0work details.,his,17,a private space or Dashboard,UA
51-his-0,Login Form are provide so the user can have a private space or Dashboard to look upon his#0work details.,his,17,Dashboard,UA
52-his-0,Login Form provided so the user can have a private space or Dashboard to look upon his#0work details and other information.,his,16,Login Form,UA
52-his-0,Login Form provided so the user can have a private space or Dashboard to look upon his#0work details and other information.,his,16,the user,UA
52-his-0,Login Form provided so the user can have a private space or Dashboard to look upon his#0work details and other information.,his,16,a private space,UA
52-his-0,Login Form provided so the user can have a private space or Dashboard to look upon his#0work details and other information.,his,16,a private space or Dashboard,UA
52-his-0,Login Form provided so the user can have a private space or Dashboard to look upon his#0work details and other information.,his,16,Dashboard,UA
53-his-0,Supervisor can view and mark his#0attendance,his,5,Supervisor,A
54-his-0,Login Form provided so the user can have Dashboard to look upon his#0work details and other information.,his,12,Login Form,A
54-his-0,Login Form provided so the user can have Dashboard to look upon his#0work details and other information.,his,12,the user,A
54-his-0,Login Form provided so the user can have Dashboard to look upon his#0work details and other information.,his,12,Dashboard,A
55-his-0,Manager have the authority to check upon the attendance of his#0own department employees only. ,his,10,Manager,UA
55-his-0,Manager have the authority to check upon the attendance of his#0own department employees only. ,his,10,the authority,UA
55-his-0,Manager have the authority to check upon the attendance of his#0own department employees only. ,his,10,the attendance,UA
56-his-0,Manger can terminate his#0department employees.,his,3,Manger,UA
57-its-0,The robot has to reach its#0target destination safely. ,its,5,The robot,UA
58-their-0,The users will be able to create a new profile by entering their#0details.,their,12,The users,UA
58-their-0,The users will be able to create a new profile by entering their#0details.,their,12,a new profile,UA
59-its-0,This system must be consistent with its#0services.,its,6,This system,UA
60-its-0,System shall provide report about total trash dumbed on weekly basis along with its#0humidity measure.,its,13,System,A
